Unnamed: 0,iso3,country,hdicode,hdi_rank_2022,gii_rank_2022,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,gender_inequality,secondary_education_f_%,secondary_education_m_%,seats_in_parliament_f_%,seats_in_parliament_m_%,labour_participation_f_%,labour_participation_m_%,co2_emission_tons,mat_footprint_percap_tons
6138,GBR,United Kingdom,Very High,15.0,28.0,2022,0.94,82.156,67.5089355,0.926495468,0.948877869,83.834,80.439,17.6342907,18.20903969,17.05068016,13.4061203,13.44999981,13.36056995,46623.90269,35910.26203,57590.60505,0.976,0.094,99.80036926,99.80490875,31.32022472,68.67977528,59.1,67.98,5.164383683,18.6514
6171,USA,United States,Very High,20.0,44.0,2022,0.927,78.203,338.289857,0.927692516,0.923404861,81.015,75.479,16.41274071,17.26275063,15.58568954,13.57549953,13.65357018,13.49328995,65564.93798,53469.38514,77898.33045,1.005,0.18,95.42427826,95.0670929,28.06026365,71.93973635,56.79,67.97,14.93248748,29.3498
6204,URY,Uruguay,Very High,52.0,60.0,2022,0.83,78.0,3.4227935,0.831896781,0.815519884,81.685,74.147,17.35183907,18.79310989,15.94713974,9.058219782,9.333094784,8.746097519,22206.99029,17426.18154,27293.52199,1.02,0.24,62.52999878,59.29999924,26.92307692,73.07692308,55.65,71.38,2.364765079,11.1654
6237,UZB,Uzbekistan,High,106.0,61.0,2022,0.727,71.674,34.6276525,0.69122666,0.748479369,74.293,69.032,11.99291039,12.0212698,11.96601009,11.91114998,11.74777031,12.07958031,8055.910265,4390.288212,11715.57914,0.924,0.242,99.95729828,100.0,29.09836066,70.90163934,39.92,73.14,3.414998582,5.6207
6270,VUT,Vanuatu,Medium,140.0,,2022,0.614,70.492,0.3267405,0.591156966,0.631348601,73.067,68.316,11.81160992,11.88515019,11.7450099,7.183209727,6.59341665,7.503930975,3243.980494,2445.40719,4033.438452,0.936,,,,1.923076923,98.07692308,26.65,36.36,0.658901976,
6303,VEN,Venezuela (Bolivarian Republic of),Medium,119.0,134.0,2022,0.699,71.105,28.3016955,0.694737413,0.693063804,75.655,66.875,13.50206427,14.26300396,12.38682871,9.628154421,9.786442835,9.469866006,6184.136,4284.554861,8125.532772,1.002,0.521,80.95437283,76.40734894,22.15568862,77.84431138,45.21,70.57,2.539494247,9.3521
6336,VNM,Viet Nam,High,107.0,91.0,2022,0.726,74.58,98.186856,0.728526748,0.723329688,79.29,69.927,13.05294705,13.33436295,12.79269728,8.455348794,8.138282269,8.789583701,10813.98273,9614.831954,12042.41379,1.007,0.378,61.47644004,69.48935602,30.26052104,69.73947896,68.54,77.84,3.617121467,10.7614
6369,YEM,Yemen,Low,186.0,166.0,2022,0.424,63.72,33.696614,0.219081434,0.480185337,67.222,60.493,7.935313345,6.881697407,8.919806255,2.776825958,1.754562204,3.587975855,1105.763435,149.9716669,2041.915582,0.456,0.82,23.7,38.2,0.294117647,99.70588235,5.84,64.69,0.351346981,1.7087
6402,ZMB,Zambia,Medium,153.0,137.0,2022,0.569,61.803,20.017675,0.548135168,0.589347481,64.51,59.058,11.01797045,11.07545672,10.98388292,7.284893177,6.432586008,8.32623795,3157.35862,2530.868643,3800.49076,0.93,0.526,33.73203586,51.36293324,15.06024096,84.93975904,54.16,66.36,0.444879802,2.9676
6435,ZWE,Zimbabwe,Medium,159.0,132.0,2022,0.55,59.391,16.320537,0.531924151,0.56831468,62.094,56.428,11.02558696,10.69515879,11.3758358,8.807762621,8.190792855,9.59072389,2078.918063,1761.97986,2433.257978,0.936,0.519,63.43482439,73.59148496,33.62573099,66.37426901,60.01,71.59,0.524974984,3.7428
6468,ZZA.VHHD,Very high human development,,,,2022,0.902,79.30936718,1645.245147,0.894829843,0.906141316,82.28935103,76.41257437,16.62957943,17.13670212,16.14871933,12.25291239,12.16380349,12.34765346,44957.6155,34726.03244,55442.31891,0.988,0.15,87.74869211,90.05833538,29.28660826,70.71339174,53.95141874,69.36174596,9.538905083,20.97884894
6501,ZZB.HHD,High human development,,,,2022,0.764,75.20367977,2890.910223,0.747356518,0.777042686,77.98377866,72.54429276,14.49302071,14.84762593,14.16626141,8.639074691,8.327576665,8.959978102,15483.82237,10904.04153,20011.16292,0.962,0.339,74.02447772,78.43011706,26.02366495,73.97633505,49.76996913,74.16047152,5.528362267,16.85704484
6534,ZZC.MHD,Medium human development,,,,2022,0.64,67.95257009,2169.348015,0.587354107,0.675311783,69.92210812,66.12952454,12.31547579,12.31428992,12.30552155,6.678403158,5.760893371,7.641517133,6444.262021,3126.605714,9637.698246,0.87,0.476,40.52984516,55.63136065,22.95612563,77.04387437,34.18001279,75.71958807,1.590683708,5.018153464
